UNFRMD_S,S,RANK_SUBCA,UNFRMD_SRVC_OCCPTN_TX,J,JDL_RCRD_CHNG_DT,JDL,BLANK
 31X,A,E,Communications Systems Circuit Control Supervisor,, 2000-01-12 00:00:00,JDL, 
 31Y,A,E,Telecommunications Systems Supervisor,, 2000-01-12 00:00:00,JDL, 
 31Z,A,E,Senior Signal Sergeant,, 2000-01-12 00:00:00,JDL, 
 3200,A,O,General Veterinary Officer,, 2000-01-12 00:00:00,JDL, 
 3201,A,O,Veterinary Public Health Officer,, 2000-01-12 00:00:00,JDL, 
 3202,A,O,Small Animal Veterinary Officer,, 2000-01-12 00:00:00,JDL, 
 3203,A,O,Veterinary Staff Officer,, 2000-01-12 00:00:00,JDL, 
 3204,A,O,Veterinary Food Hygienist,, 2000-01-12 00:00:00,JDL, 
 3205,A,O,Veterinary Laboratory Animal Officer,, 2000-01-12 00:00:00,JDL, 
 3206,A,O,Veterinary Pathologist,, 2000-01-12 00:00:00,JDL, 
 3207,A,O,Veterinary Microbiologist/Parasitologist,, 2000-01-12 00:00:00,JDL, 
 3208,A,O,Veterinary Radiobiologist/Radiologist,, 2000-01-12 00:00:00,JDL, 
 3209,A,O,Veterinary Comparative Medicine Officer,, 2000-01-12 00:00:00,JDL, 
 3210,A,O,Veterinary Laboratory Officer,, 2000-01-12 00:00:00,JDL, 
 32D,A,E,Communications Systems Circuit Controller,, 2000-01-12 00:00:00,JDL, 
 32E,A,E,Fixed Plant Carrier Repairman,, 2000-01-12 00:00:00,JDL, 
 32F,A,E,Fixed Ciphony Repairer,, 2000-01-12 00:00:00,JDL, 
 32G,A,E,Fixed Cryptographic Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 32H,A,E,Fixed Station Radio Repairer,, 2000-01-12 00:00:00,JDL, 
 32Z,A,E,Communications-Electronics Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 3304,A,O,Therapeutic Radiologist (Radiation Oncologist),, 2000-01-12 00:00:00,JDL, 
 3305,A,O,Diagnostic Radiologist,, 2000-01-12 00:00:00,JDL, 
 3306,A,O,Radiologist,, 2000-01-12 00:00:00,JDL, 
 3307,A,O,Microbiologist,, 2000-01-12 00:00:00,JDL, 
 3308,A,O,Nuclear Medical Science Officer,, 2000-01-12 00:00:00,JDL, 
 3309,A,O,Biochemist,, 2000-01-12 00:00:00,JDL, 
 3310,A,O,Parasitologist,, 2000-01-12 00:00:00,JDL, 
 3311,A,O,Immunologist,, 2000-01-12 00:00:00,JDL, 
 3314,A,O,Clinical Laboratory Officer,, 2000-01-12 00:00:00,JDL, 
 3315,A,O,Entomologist,, 2000-01-12 00:00:00,JDL, 
 3316,A,O,Nutrition Officer,, 2000-01-12 00:00:00,JDL, 
 3318,A,O,Pharmacy Officer,, 2000-01-12 00:00:00,JDL, 
 3324,A,O,Anatomical Pathologist,, 2000-01-12 00:00:00,JDL, 
 3325,A,O,Pathologist,, 2000-01-12 00:00:00,JDL, 
 3326,A,O,Clinical Pathologist,, 2000-01-12 00:00:00,JDL, 
 3327,A,O,Physiologist,, 2000-01-12 00:00:00,JDL, 
 3328,A,O,Forensic Pathologist,, 2000-01-12 00:00:00,JDL, 
 3329,A,O,Neuropathologist,, 2000-01-12 00:00:00,JDL, 
 3340,A,O,Optometry Officer,, 2000-01-12 00:00:00,JDL, 
 3350,A,O,Podiatrist,, 2000-01-12 00:00:00,JDL, 
 3360,A,O,Audiologist,, 2000-01-12 00:00:00,JDL, 
 3370,A,O,Environmental Science Officer,, 2000-01-12 00:00:00,JDL, 
 3371,A,O,Sanitary Engineer,, 2000-01-12 00:00:00,JDL, 
 3380,A,O,Military Community Oral Health Manager,, 2000-01-12 00:00:00,JDL, 
 33C,A,E,Terminal Intercept Equipment Repairman,, 2000-01-12 00:00:00,JDL, 
 33D,A,E,Intercept Recording Systems Repairman,, 2000-01-12 00:00:00,JDL, 
 33F,A,E,Intercept Demultiplex Systems Repairman,, 2000-01-12 00:00:00,JDL, 
 33G,A,E,ECM/DF Systems Repairman,, 2000-01-12 00:00:00,JDL, 
 33M,A,E,EW/Intercept Strategic Sys Analyst & Cmd & Cont Subsystem Repairer,, 2000-01-12 00:00:00,JDL, 
 33P,A,E,EW/Intercept Strategic Receiving Subsystems/Repairer,, 2000-01-12 00:00:00,JDL, 
 33Q,A,E,EW/Intercept Strategic Processing & Storage Subsystems Repairer,, 2000-01-12 00:00:00,JDL, 
 33R,A,E,Electronic Warfare/Intercept Aviation Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 33S,A,E,EW/Intercept Tactical System Repairer,, 2000-01-12 00:00:00,JDL, 
 33T,A,E,Electronic Warfare/Intercept Tactical Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 33V,A,E,EW/Intercept Aerial Sensor Repairer,, 2000-01-12 00:00:00,JDL, 
 33W,A,E,Electronic Warfare/Intercept Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 33Y,A,E,Strategic Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 33Z,A,E,EW/Intercept Systems Maintenance Supervisor,, 2000-01-12 00:00:00,JDL, 
 3416,A,O,Occupational Therapist,, 2000-01-12 00:00:00,JDL, 
 3418,A,O,Physical Therapist,, 2000-01-12 00:00:00,JDL, 
 341A,A,W,Cryptographic Equipment Repair Technician,, 2000-01-12 00:00:00,JDL, 
 3420,A,O,Hospital Dietitian,, 2000-01-12 00:00:00,JDL, 
 3430,A,O,Nurse Administrator,, 2000-01-12 00:00:00,JDL, 
 3431,A,O,Community Health Nurse,, 2000-01-12 00:00:00,JDL, 
 3437,A,O,Psychiatric/Mental Health Nurse,, 2000-01-12 00:00:00,JDL, 
 3442,A,O,Pediatric Nurse,, 2000-01-12 00:00:00,JDL, 
 3443,A,O,Operating Room Nurse,, 2000-01-12 00:00:00,JDL, 
 3445,A,O,Nurse Anesthetist,, 2000-01-12 00:00:00,JDL, 
 3446,A,O,Obstetric & Gynecologic Nurse,, 2000-01-12 00:00:00,JDL, 
 3448,A,O,Medical-Surgical Nurse,, 2000-01-12 00:00:00,JDL, 
 3449,A,O,Clinical Nurse,, 2000-01-12 00:00:00,JDL, 
 34A,A,O,Strategic Intelligence Officer,, 2000-01-12 00:00:00,JDL, 
 34B,A,E,Card Punch Machine Repairer,, 2000-01-12 00:00:00,JDL, 
 34C,A,E,Decentralized Auto Support Systems (DAS3) Computer Repairer,, 2000-01-12 00:00:00,JDL, 
 34D,A,E,ADPS Repairman,, 2000-01-12 00:00:00,JDL, 
 34E,A,E,NCR 500 Computer Repairer,, 2000-01-12 00:00:00,JDL, 
 34F,A,E,DSTE Repairer,, 2000-01-12 00:00:00,JDL, 
 34G,A,E,Fire Control Computer Repairer,, 2000-01-12 00:00:00,JDL, 
 34H,A,E,ADMSE Repairer,, 2000-01-12 00:00:00,JDL, 
 34J,A,E,Univac 1004/1005 DCT 9000 System Repairer,, 2000-01-12 00:00:00,JDL, 
 34K,A,E,IBM 360 Repairer,, 2000-01-12 00:00:00,JDL, 
 34L,A,E,Field Artillery Digital Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 34M,A,E,SDS 920 Equipment Repairman,, 2000-01-12 00:00:00,JDL, 
 34T,A,E,Tactical Computer Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 34Y,A,E,FA Computer Repairer,, 2000-01-12 00:00:00,JDL, 
 34Z,A,E,ADP Maintenance Supervisor,, 2000-01-12 00:00:00,JDL, 
 350,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 3506,A,O,Field Medical Assistant,, 2000-01-12 00:00:00,JDL, 
 350B,A,W,All Source Intelligence Technician,, 2000-01-12 00:00:00,JDL, 
 350D,A,W,Imagery Intelligence Technician,, 2000-01-12 00:00:00,JDL, 
 350L,A,W,Attache Technician,, 2000-01-12 00:00:00,JDL, 
 351,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 3510,A,O,Health Services Comptroller,, 2000-01-12 00:00:00,JDL, 
 351A,A,W,Power Station Technician,, 2000-01-12 00:00:00,JDL, 
 351B,A,W,Counterintelligence Technician,, 2000-01-12 00:00:00,JDL, 
 351C,A,W,Area Intelligence Technician,, 2000-01-12 00:00:00,JDL, 
 351E,A,W,Human Intelligence Collection Technician,, 2000-01-12 00:00:00,JDL, 
 352,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 3520,A,O,Biomedical Information Systems Officer,, 2000-01-12 00:00:00,JDL, 
 352C,A,W,Traffic Analysis Technician,, 2000-01-12 00:00:00,JDL, 
 352D,A,W,Emitter Location/Identification Technician,, 2000-01-12 00:00:00,JDL, 
 352G,A,W,Voice Intercept Technician,, 2000-01-12 00:00:00,JDL, 
 352H,A,W,Morse Intercept Technician,, 2000-01-12 00:00:00,JDL, 
 352J,A,W,Emanations Analysis Technician,, 2000-01-12 00:00:00,JDL, 
 352K,A,W,Non-Morse Intercept Technician,, 2000-01-12 00:00:00,JDL, 
 353,A,Left Blank,Unknown,, 2000-01-12 00:00:00,JDL, 
 3530,A,O,Patient Administration Officer,, 2000-01-12 00:00:00,JDL, 
 353A,A,W,Intelligence Electronic Warfare Equipment Technician,, 2000-01-12 00:00:00,JDL, 
 3560,A,O,Health Services Personnel Manager,, 2000-01-12 00:00:00,JDL, 
 3565,A,O,Health Services Manpower Control Officer,, 2000-01-12 00:00:00,JDL, 
 3570,A,O,Health Services Plans & Operations Officer,, 2000-01-12 00:00:00,JDL, 
 3581,A,O,Aeromedical Evacuation Officer,, 2000-01-12 00:00:00,JDL, 
 3590,A,O,Health Services Materiel Officer,, 2000-01-12 00:00:00,JDL, 
 3593,A,O,Health Services Intelligence Officer,, 2000-01-12 00:00:00,JDL, 
 3595,A,O,Health Facilities Planning Officer,, 2000-01-12 00:00:00,JDL, 
 35A,A,O,"Military Intelligence, General",, 2000-01-12 00:00:00,JDL, 
 35B,A,E,Land Combat Support System (LCSS) Test Specialist,, 2000-01-12 00:00:00,JDL, 
 35B,A,O,Strategic Intelligence,, 2000-01-12 00:00:00,JDL, 
 35C,A,E,Surveillance Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 35C,A,O,Imagery Intelligence,, 2000-01-12 00:00:00,JDL, 
 35D,A,E,Air Traffic Control Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 35D,A,O,All Source Intelligence,, 2000-01-12 00:00:00,JDL, 
 35E,A,E,Radio/COMSEC Rerpairer,, 2000-01-12 00:00:00,JDL, 
 35E,A,O,Counterintelligence,, 2000-01-12 00:00:00,JDL, 
 35F,A,E,Special Electronics Device Repairer,, 2000-01-12 00:00:00,JDL, 
 35F,A,O,Human Intelligence,, 2000-01-12 00:00:00,JDL, 
 35G,A,E,"Medical Equipment Repairer, Unit Level",, 2000-01-12 00:00:00,JDL, 
 35G,A,O,Signal Intelligence-Electronic Warfare,, 2000-01-12 00:00:00,JDL, 
 35H,A,E,TMDE Maintenance Support Specialist,, 2000-01-12 00:00:00,JDL, 
 35J,A,E,Computer/Automation Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 35K,A,E,Avionic Mechanic,, 2000-01-12 00:00:00,JDL, 
 35L,A,E,Avionic Communications Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 35M,A,E,Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 35N,A,E,Wire Systems Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 35P,A,E,Avionic Equipment Maintenance Supervisor,, 2000-01-12 00:00:00,JDL, 
 35Q,A,E,Avionic Flight Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 35R,A,E,Avionic System Repairer,, 2000-01-12 00:00:00,JDL, 
 35S,A,E,Electronic Biomedical Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 35T,A,E,X-Ray Biomedical Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 35U,A,E,"Medical Equipment Repairer, Advanced",, 2000-01-12 00:00:00,JDL, 
 35W,A,E,Electronic Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 35Y,A,E,Integrated Family of Test Equipment Operator/Maintainer,, 2000-01-12 00:00:00,JDL, 
 35Z,A,E,Senior Electronics Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 3606,A,O,Social Work Officer,, 2000-01-12 00:00:00,JDL, 
 361A,A,W,Fire Distribution Systems Repair Technician,, 2000-01-12 00:00:00,JDL, 
 3620,A,O,Psychologist,, 2000-01-12 00:00:00,JDL, 
 3621,A,O,Health Services Research Psychologist,, 2000-01-12 00:00:00,JDL, 
 3639,A,O,Behavioral Science Associate,, 2000-01-12 00:00:00,JDL, 
 36A,A,O,Counterintelligence,, 2000-01-12 00:00:00,JDL, 
 36B,A,O,Human Intelligence,, 2000-01-12 00:00:00,JDL, 
 36C,A,E,Wire Systems Installer,, 2000-01-12 00:00:00,JDL, 
 36D,A,E,Antenna Installer Specialist,, 2000-01-12 00:00:00,JDL, 
 36E,A,E,Cable Splicer,, 2000-01-12 00:00:00,JDL, 
 36G,A,E,Manual Central Office Repairman,, 2000-01-12 00:00:00,JDL, 
 36H,A,E,Dial/Manual Central Office Repairer,, 2000-01-12 00:00:00,JDL, 
 36K,A,E,Tactical Wire Operations Specialist,, 2000-01-12 00:00:00,JDL, 
 36L,A,E,Transportable Automatic Switching Systems Operator/Maintainer,, 2000-01-12 00:00:00,JDL, 
 36M,A,E,Switching Systems Operator,, 2000-01-12 00:00:00,JDL, 
 370,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 37A,A,O,Tactical Signal Intelligence-Electronic Warfare,, 2000-01-12 00:00:00,JDL, 
 37B,A,O,Strategic Signal Intelligence,, 2000-01-12 00:00:00,JDL, 
 37C,A,O,Signal Security Officer,, 2000-01-12 00:00:00,JDL, 
 37D,A,O,Electronic Warfare Cryptologic Officer,, 2000-01-12 00:00:00,JDL, 
 37E,A,O,Electronic Warfare-Cryptologic Officer,, 2000-01-12 00:00:00,JDL, 
 37F,A,E,Psychological Operations Specialist,, 2000-01-12 00:00:00,JDL, 
 38A,A,E,Civil Affairs Specialist,, 2000-01-12 00:00:00,JDL, 
 38A,A,O,"Civil Affairs, General (RC Comp)",, 2000-01-12 00:00:00,JDL, 
 3900,A,O,Medical Unit Commander,, 2000-01-12 00:00:00,JDL, 
 39A,A,O,"Psychological Operations or civil affairs, general",, 2000-01-12 00:00:00,JDL, 
 39B,A,E,Automatic Test Equipment Operator/Maintainer,, 2000-01-12 00:00:00,JDL, 
 39B,A,O,Psychological Operations,, 2000-01-12 00:00:00,JDL, 
 39C,A,E,Target Acquisition Surveillance Radar Repairer,, 2000-01-12 00:00:00,JDL, 
 39C,A,O,Civil Affairs,, 2000-01-12 00:00:00,JDL, 
 39D,A,E,DAS3 Computer Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 39E,A,E,Special Electronics Devices Repairer,, 2000-01-12 00:00:00,JDL, 
 39G,A,E,Automated Communications Computer Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 39K,A,E,IBM ADPS Repairer,, 2000-01-12 00:00:00,JDL, 
 39L,A,E,Field Artillery Digital Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 39T,A,E,Tactical Computer System Repairer,, 2000-01-12 00:00:00,JDL, 
 39V,A,E,Computerized System Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 39W,A,E,Radar Special Electronic Devices Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 39X,A,E,Electronic Equipment Maintenance Chief,, 2000-01-12 00:00:00,JDL, 
 39X,A,O,"Psychological Operations, and Civil Affairs, Designated",, 2000-01-12 00:00:00,JDL, 
 39Y,A,E,Field Artillery Tactical Fire Direction Systems Repairer,, 2000-01-12 00:00:00,JDL, 
 400,A,O,*******Dummy Officer Entry*****************,, 2000-01-12 00:00:00,JDL, 
 4010,A,O,"Supply Staff Officer (G4, S4)",, 2000-01-12 00:00:00,JDL, 
 4011,A,O,Maintenance Staff Officer,, 2000-01-12 00:00:00,JDL, 
 401A,A,W,Airdrop Equipment Technician,, 2000-01-12 00:00:00,JDL, 
 40A,A,O,Space Operations,, 2000-01-12 00:00:00,JDL, 
 410,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 4112,A,O,Club Manager,, 2000-01-12 00:00:00,JDL, 
 4114,A,O,Food Adviser,, 2000-01-12 00:00:00,JDL, 
 411A,A,W,Ammunition Technician,, 2000-01-12 00:00:00,JDL, 
 4130,A,O,Subsistence Officer,, 2000-01-12 00:00:00,JDL, 
 41A,A,O,Personnel Programs Management Staff,, 2000-01-12 00:00:00,JDL, 
 41B,A,E,Topographic Instrument Repair Specialist,, 2000-01-12 00:00:00,JDL, 
 41B,A,O,Community/Family Support,, 2000-01-12 00:00:00,JDL, 
 41C,A,E,FC Instrument Repairer,, 2000-01-12 00:00:00,JDL, 
 41C,A,O,Equal Opportunity Staff Officer,, 2000-01-12 00:00:00,JDL, 
 41E,A,E,Audio-Visual Equipment Repairer,, 2000-01-12 00:00:00,JDL, 
 41F,A,E,Projector Repairman,, 2000-01-12 00:00:00,JDL, 
 41G,A,E,Aerial Surveillance Photo Equipment Repairer (Reserve Forces),, 2000-01-12 00:00:00,JDL, 
 41H,A,E,Photographic Equipment Repair Chief,, 2000-01-12 00:00:00,JDL, 
 41J,A,E,Office Machine Repairer,, 2000-01-12 00:00:00,JDL, 
 41K,A,E,Reproduction Equipment Repair Specialist,, 2000-01-12 00:00:00,JDL, 
 41X,A,O,WAC Staff Adviser,, 2000-01-12 00:00:00,JDL, 
 4200,A,O,Supply & Service Officer,, 2000-01-12 00:00:00,JDL, 
 4201,A,O,Supply Management Officer,, 2000-01-12 00:00:00,JDL, 
 420A,A,W,Military Personnel Technician,, 2000-01-12 00:00:00,JDL, 
 420C,A,W,Bandmaster,, 2000-01-12 00:00:00,JDL, 
 420D,A,W,Club Manager,, 2000-01-12 00:00:00,JDL, 
 4210,A,O,Army Exchange Officer,, 2000-01-12 00:00:00,JDL, 
 421A,A,W,Armament Repair Technician,, 2000-01-12 00:00:00,JDL, 
 4223,A,O,Commissary Officer,, 2000-01-12 00:00:00,JDL, 
 42A,A,O,"Adjutant General, General",, 2000-01-12 00:00:00,JDL, 
 42B,A,O,Personnel Systems Management,, 2000-01-12 00:00:00,JDL, 
 42C,A,E,Orthotic Specialist,, 2000-01-12 00:00:00,JDL, 
 42C,A,O,Army Band,, 2000-01-12 00:00:00,JDL, 
 42D,A,E,Dental Laboratory Specialist,, 2000-01-12 00:00:00,JDL, 
 42D,A,O,Community Activities Management,, 2000-01-12 00:00:00,JDL, 
 42E,A,E,Optical Laboratory Specialist,, 2000-01-12 00:00:00,JDL, 
 42E,A,O,Administrative Systems Management,, 2000-01-12 00:00:00,JDL, 
 42F,A,E,Dental Fixed Prosthetic Specialist,, 2000-01-12 00:00:00,JDL, 
 4300,A,O,Materiel Project/Product Manager,, 2000-01-12 00:00:00,JDL, 
 4312,A,O,Real Estate Officer,, 2000-01-12 00:00:00,JDL, 
 4319,A,O,Procurement Control & Production Officer,, 2000-01-12 00:00:00,JDL, 
 4320,A,O,Procurement Officer,, 2000-01-12 00:00:00,JDL, 
 4360,A,O,Printing Officer,, 2000-01-12 00:00:00,JDL, 
 4371,A,O,Dog Handling Officer,, 2000-01-12 00:00:00,JDL, 
 43A,A,O,Human Resources Management Officer,, 2000-01-12 00:00:00,JDL, 
 43B,A,O,Community Services Management,, 2000-01-12 00:00:00,JDL, 
 43C,A,O,Morale Support,, 2000-01-12 00:00:00,JDL, 
 43D,A,O,Army Band,, 2000-01-12 00:00:00,JDL, 
 43E,A,E,Parachute Rigger,, 2000-01-12 00:00:00,JDL, 
 43J,A,E,Textile Repairman,, 2000-01-12 00:00:00,JDL, 
 43K,A,E,Canvas Repairman,, 2000-01-12 00:00:00,JDL, 
 43M,A,E,Fabric Repair Specialist,, 2000-01-12 00:00:00,JDL, 
 440,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 4403,A,O,Foreign Aid Supply Officer,, 2000-01-12 00:00:00,JDL, 
 441A,A,W,Repair Shop Technician,, 2000-01-12 00:00:00,JDL, 
 4420,A,O,Aircraft Supply Officer,, 2000-01-12 00:00:00,JDL, 
 4445,A,O,Storage Officer,, 2000-01-12 00:00:00,JDL, 
 4475,A,O,Railway Supply Officer,, 2000-01-12 00:00:00,JDL, 
 44A,A,E,Metalworking Apprentice,, 2000-01-12 00:00:00,JDL, 
 44A,A,O,Finance General,, 2000-01-12 00:00:00,JDL, 
 44B,A,E,Metal Worker,, 2000-01-12 00:00:00,JDL, 
 44B,A,O,Accounting Officer,, 2000-01-12 00:00:00,JDL, 
 44C,A,E,Welder,, 2000-01-12 00:00:00,JDL, 
 44C,A,O,Disbursing Officer,, 2000-01-12 00:00:00,JDL, 
 44E,A,E,Machinist,, 2000-01-12 00:00:00,JDL, 
 4510,A,O,Unit Ammunition Officer,, 2000-01-12 00:00:00,JDL, 
 4514,A,O,Conventional Ammunition Officer,, 2000-01-12 00:00:00,JDL, 
 4515,A,O,Missile & Munitions Officer,, 2000-01-12 00:00:00,JDL, 
 4516,A,O,Missile Maintenance Officer,, 2000-01-12 00:00:00,JDL, 
 4517,A,O,Special Ammunition Officer,, 2000-01-12 00:00:00,JDL, 
 45A,A,E,Armament Maintenance Apprentice,, 2000-01-12 00:00:00,JDL, 
 45A,A,O,Comptroller,, 2000-01-12 00:00:00,JDL, 
 45B,A,E,Small Arms Artillery Repairer,, 2000-01-12 00:00:00,JDL, 
 45B,A,O,Program/Budget,, 2000-01-12 00:00:00,JDL, 
 45C,A,O,Management Officer,, 2000-01-12 00:00:00,JDL, 
 45D,A,E,Self-Propelled Field Artillery Turret Mechanic,, 2000-01-12 00:00:00,JDL, 
 45E,A,E,M1 ABRAMS Tank Turret Mechanic,, 2000-01-12 00:00:00,JDL, 
 45G,A,E,Fire Control Repairer,, 2000-01-12 00:00:00,JDL, 
 45J,A,E,Aircraft Armament Repairman,, 2000-01-12 00:00:00,JDL, 
 45K,A,E,Armament Repairer,, 2000-01-12 00:00:00,JDL, 
 45L,A,E,Artillery Repairer,, 2000-01-12 00:00:00,JDL, 
 45M,A,E,Aircraft Armament Subsystem Mechanic,, 2000-01-12 00:00:00,JDL, 
 45N,A,E,M60A1/A3 Tank Turret Mechanic,, 2000-01-12 00:00:00,JDL, 
 45P,A,E,Sheridan Turret Mechanic,, 2000-01-12 00:00:00,JDL, 
 45R,A,E,M60A2 Tank Turret Mechanic,, 2000-01-12 00:00:00,JDL, 
 45T,A,E,Bradley Fighting Vehicle System Turret Mechanic,, 2000-01-12 00:00:00,JDL, 
 45Z,A,E,Armament/Fire Control Maintenance Supervisor,, 2000-01-12 00:00:00,JDL, 
 460,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 4600,A,O,Property Disposal Officer,, 2000-01-12 00:00:00,JDL, 
 4601,A,O,Salvage Collecting Officer,, 2000-01-12 00:00:00,JDL, 
 461A,A,W,Airdrop Equipment Repair Technician,, 2000-01-12 00:00:00,JDL, 
 46A,A,O,Public Affairs General,, 2000-01-12 00:00:00,JDL, 
 46B,A,O,Broadcast,, 2000-01-12 00:00:00,JDL, 
 46D,A,E,Improved Hawk Mechanical Systems Repairman,, 2000-01-12 00:00:00,JDL, 
 46L,A,E,Sergeant Electrical-Mechanical Repairman,, 2000-01-12 00:00:00,JDL, 
 46N,A,E,PERSHING Electrical-Mechanical Repairer,, 2000-01-12 00:00:00,JDL, 
 46Q,A,E,Journalist,, 2000-01-12 00:00:00,JDL, 
 46R,A,E,Broadcast Journalist,, 2000-01-12 00:00:00,JDL, 
 46Z,A,E,Public Affairs Chief,, 2000-01-12 00:00:00,JDL, 
 47A,A,O,"USMA, Professor",, 2000-01-12 00:00:00,JDL, 
 47B,A,O,"USMA, Academy Professor",, 2000-01-12 00:00:00,JDL, 
 47C,A,O,"USMA, Professor of English",, 2000-01-12 00:00:00,JDL, 
 47D,A,O,"USMA, Professor of Electrical Engineering and Computer Science",, 2000-01-12 00:00:00,JDL, 
 47F,A,O,"USMA, Professor Systems Engineering",, 2000-01-12 00:00:00,JDL, 
 47G,A,O,"USMA, Professor of Foreign Languages",, 2000-01-12 00:00:00,JDL, 
 47H,A,O,"USMA, Professor of Physics",, 2000-01-12 00:00:00,JDL, 
 47J,A,O,"USMA, Professor of Social Sciences",, 2000-01-12 00:00:00,JDL, 
 47K,A,O,"USMA, Professor of History",, 2000-01-12 00:00:00,JDL, 
 47L,A,O,"USMA, Professor of Behavioral Sciences and Leadership",, 2000-01-12 00:00:00,JDL, 
 47M,A,O,"USMA, Professor of Chemistry",, 2000-01-12 00:00:00,JDL, 
 47N,A,O,"USMA, Professor of Mathematical Sciences",, 2000-01-12 00:00:00,JDL, 
 47P,A,O,"USMA, Professor of Geography and Environmental Engineering",, 2000-01-12 00:00:00,JDL, 
 47Q,A,O,"USMA, Professor and Associate Dean",, 2000-01-12 00:00:00,JDL, 
 47R,A,O,"USMA, Professor of Civil and Mechanical Engineering",, 2000-01-12 00:00:00,JDL, 
 47S,A,O,"USMA, Professor of Physical Education",, 2000-01-12 00:00:00,JDL, 
 4803,A,O,Maintenance Officer,, 2000-01-12 00:00:00,JDL, 
 4804,A,O,Marine Maintenance Officer,, 2000-01-12 00:00:00,JDL, 
 4808,A,O,Armament Maintenance & Repair Officer,, 2000-01-12 00:00:00,JDL, 
 4815,A,O,Mechanical Maintenance Officer,, 2000-01-12 00:00:00,JDL, 
 4818,A,O,Tire Maintenance & Repair Officer,, 2000-01-12 00:00:00,JDL, 
 4820,A,O,Parachute Maintenance & Aerial Supply Officer,, 2000-01-12 00:00:00,JDL, 
 4823,A,O,Aircraft Maintenance Officer,, 2000-01-12 00:00:00,JDL, 
 4825,A,O,Electronics Maintenance Officer,, 2000-01-12 00:00:00,JDL, 
 4830,A,O,Laundry & Fumigation Officer,, 2000-01-12 00:00:00,JDL, 
 4850,A,O,Railway Shop Superintendent,, 2000-01-12 00:00:00,JDL, 
 4851,A,O,Car Repair Shop Superintendent,, 2000-01-12 00:00:00,JDL, 
 4857,A,O,Railway Machine Shop Superintendent,, 2000-01-12 00:00:00,JDL, 
 4862,A,O,Diesel Locomotive Shop Superintendent,, 2000-01-12 00:00:00,JDL, 
 48A,A,O,"Foreign Area, General",, 2000-01-12 00:00:00,JDL, 
 48B,A,O,Latin America,, 2000-01-12 00:00:00,JDL, 
 48C,A,O,West Europe,, 2000-01-12 00:00:00,JDL, 
 48D,A,O,South Asia,, 2000-01-12 00:00:00,JDL, 
 48E,A,O,Russia/East Europe,, 2000-01-12 00:00:00,JDL, 
 48F,A,O,China,, 2000-01-12 00:00:00,JDL, 
 48G,A,O,Middle East/North Africa,, 2000-01-12 00:00:00,JDL, 
 48H,A,O,Northeast Asia,, 2000-01-12 00:00:00,JDL, 
 48I,A,O,South East Asia,, 2000-01-12 00:00:00,JDL, 
 48J,A,O,"Africa, South of Sahara",, 2000-01-12 00:00:00,JDL, 
 490,A,O,***** Dummy Officer Entry For DMDC Matching *****,, 2000-01-12 00:00:00,JDL, 
 4940,A,O,Water Supply Unit Commander,, 2000-01-12 00:00:00,JDL, 
 4942,A,O,Forestry Officer,, 2000-01-12 00:00:00,JDL, 
 4944,A,O,Gas Generating Unit Commander,, 2000-01-12 00:00:00,JDL, 
 4960,A,O,Petroleum Products Supply Officer,, 2000-01-12 00:00:00,JDL, 
 49A,A,O,"Operations Research, General",, 2000-01-12 00:00:00,JDL, 
 49B,A,O,"Operations Research, Personnel",, 2000-01-12 00:00:00,JDL, 
